episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish
132,1,2.3332,-4.9334,0.215,490,1280,0.519,85,0.00,3761,426.62,0,0
133,1,-4.9639,-4.9542,0.243,280,719,0.516,70,0.00,3789,252.26,0,0
134,1,-3.8189,-4.9201,0.202,347,904,0.513,75,0.00,3824,298.61,0,0
135,1,-3.2334,-4.8338,0.218,394,1047,0.511,80,0.00,3864,334.03,0,0
136,1,-5.1543,-4.7811,0.189,344,906,0.508,75,0.00,3899,306.72,0,0
137,1,-3.4056,-4.7311,0.298,146,406,0.506,55,0.00,3914,132.06,0,0
138,1,-0.4249,-4.6152,0.310,257,714,0.503,70,0.00,3940,225.58,0,0
139,1,-5.0838,-4.5869,0.242,264,657,0.501,65,0.00,3967,232.70,0,0
140,1,-3.5829,-4.4635,0.204,294,757,0.498,70,0.00,3997,248.99,0,0
141,1,-6.2665,-4.4870,0.231,91,226,0.496,40,0.00,4007,83.02,0,0
142,1,-0.0307,-4.4144,0.207,332,878,0.493,75,0.00,4041,305.65,0,0
143,1,-1.9499,-4.3305,0.200,405,1055,0.491,80,0.00,4082,356.65,0,0
144,1,0.8025,-4.2070,0.242,283,773,0.488,75,0.00,4111,251.01,0,0
145,1,-6.4607,-4.2255,0.204,639,1583,0.486,85,0.00,4175,552.78,0,0
146,1,-5.0639,-4.1743,0.244,416,1070,0.483,80,0.00,4217,365.48,0,0
147,1,-4.6874,-4.2291,0.177,377,993,0.481,80,0.00,4255,330.36,0,0
148,1,-4.2281,-4.2872,0.207,268,705,0.479,70,0.00,4282,244.73,0,0
149,1,3.7884,-4.1219,0.180,429,1133,0.476,85,0.00,4325,370.25,0,0
150,1,-0.3261,-4.0375,0.175,261,726,0.474,75,0.00,4352,236.93,0,0
151,1,2.6112,-3.8918,0.234,357,974,0.471,80,0.00,4388,315.46,0,0
152,1,-4.2779,-3.8237,0.205,956,2435,0.469,95,0.00,4484,824.45,0,0
153,1,-1.0674,-3.7382,0.205,231,621,0.467,65,0.00,4508,212.10,0,0
154,1,-4.7392,-3.7135,0.187,108,277,0.464,45,0.00,4519,97.65,0,0
155,1,0.6178,-3.5162,0.252,399,1049,0.462,80,0.00,4559,341.50,0,0
156,1,-5.8389,-3.4983,0.163,91,224,0.460,40,0.00,4569,81.76,0,0
157,1,-0.1505,-3.3674,0.214,315,851,0.458,75,0.00,4601,288.44,0,0
158,1,-4.6438,-3.3031,0.182,141,354,0.455,50,0.00,4616,123.12,0,0
159,1,-2.4497,-3.1957,0.217,167,463,0.453,60,0.00,4633,147.05,0,0
160,1,1.2608,-3.0988,0.244,340,900,0.451,75,0.00,4667,303.58,0,0
161,1,1.6515,-3.1011,0.221,341,888,0.448,75,0.00,4702,313.43,0,0
162,1,-2.2492,-3.1417,0.249,239,665,0.446,70,0.00,4726,216.64,0,0
163,1,0.2560,-3.1015,0.183,800,2042,0.444,95,0.00,4806,693.26,0,0
164,1,-4.0439,-3.0768,0.168,186,487,0.442,60,0.00,4825,162.25,0,0
165,1,-2.9333,-3.0366,0.187,313,840,0.440,75,0.00,4857,280.13,0,0
166,1,1.5236,-2.9311,0.236,432,1155,0.437,85,0.00,4901,385.40,0,0
167,1,-3.7476,-2.9180,0.202,258,641,0.435,65,0.00,4927,224.92,0,0
168,1,-0.3375,-2.7330,0.302,245,671,0.433,70,0.00,4952,225.64,0,0
169,1,-2.8200,-2.6887,0.303,156,403,0.431,55,0.00,4968,140.80,0,0
170,1,-3.2575,-2.6780,0.284,304,818,0.429,75,0.00,4999,277.75,0,0
171,1,-1.9545,-2.6063,0.266,858,2215,0.427,95,0.00,5085,746.04,0,0
172,1,-3.6760,-2.5136,0.272,130,344,0.424,50,0.00,5098,118.86,0,0
173,1,1.4211,-2.3743,0.253,799,2092,0.422,95,0.00,5178,713.24,0,0
174,1,0.2907,-2.3498,0.260,227,658,0.420,70,0.00,5201,214.84,0,0
175,1,0.4658,-2.2932,0.313,437,1158,0.418,85,0.00,5245,382.38,0,0
176,1,-1.5577,-2.2914,0.241,279,757,0.416,75,0.00,5273,252.92,0,0
177,1,-2.2364,-2.2847,0.231,328,878,0.414,75,0.00,5306,301.07,0,0
178,1,-3.4253,-2.2905,0.283,552,1423,0.412,85,0.00,5362,495.31,0,0
179,1,-0.8396,-2.2203,0.270,347,956,0.410,80,0.00,5397,318.06,0,0
180,1,-3.0327,-2.0906,0.271,299,844,0.408,80,0.00,5427,265.37,0,0
181,1,-3.8392,-2.0955,0.235,289,786,0.406,75,0.00,5456,259.48,0,0
