episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish
195,1,-1.1673,-0.9183,0.393,422,1245,0.378,90,0.00,5561,372.12,0,0
196,1,1.5044,-0.9131,0.255,274,762,0.376,75,0.00,5589,253.37,0,0
197,1,0.1840,-0.8956,0.387,335,943,0.374,80,0.00,5623,311.64,0,0
198,1,1.8661,-0.7759,0.290,422,1097,0.373,80,0.00,5666,387.03,0,0
199,1,0.5133,-0.6968,0.309,441,1137,0.371,80,0.00,5711,405.11,0,0
200,1,1.6811,-0.6120,0.297,493,1316,0.369,85,0.00,5761,460.39,0,0
201,1,5.9648,-0.4216,0.307,729,1895,0.367,95,0.00,5834,651.01,0,0
202,1,-2.4603,-0.4389,0.363,303,835,0.365,75,0.00,5865,277.04,0,0
203,1,-3.2373,-0.4773,0.327,671,1829,0.363,95,0.00,5933,605.46,0,0
204,1,0.1339,-0.4564,0.355,453,1163,0.361,80,0.00,5979,416.47,0,0
205,1,1.1740,-0.3874,0.271,369,962,0.360,80,0.00,6016,333.99,0,0
206,1,2.0060,-0.2893,0.339,388,1187,0.358,90,0.00,6055,347.13,0,0
207,1,1.3220,-0.2539,0.206,301,810,0.356,75,0.00,6086,300.12,0,0
208,1,0.6283,-0.1992,0.303,313,833,0.354,75,0.00,6118,294.58,0,0
209,1,-2.8808,-0.2524,0.249,231,583,0.353,65,0.00,6142,219.01,0,0
210,1,-1.2429,-0.2602,0.262,170,465,0.351,60,0.00,6159,154.60,0,0
211,1,1.3648,-0.2311,0.305,490,1432,0.349,95,0.00,6208,427.70,0,0
212,1,5.8991,-0.0593,0.245,444,1120,0.347,80,0.00,6253,436.20,0,0
213,1,4.0215,0.0852,0.318,300,810,0.346,75,0.00,6283,276.25,0,0
214,1,1.5090,0.0957,0.282,295,836,0.344,80,0.00,6313,270.96,0,0
215,1,3.1510,0.1562,0.292,339,894,0.342,75,0.00,6347,317.49,0,0
216,1,1.1778,0.1624,0.317,402,1007,0.340,75,0.00,6388,406.49,0,0
217,1,6.3270,0.3617,0.287,430,1103,0.339,80,0.00,6431,401.10,0,0
218,1,0.7674,0.3840,0.326,363,924,0.337,75,0.00,6468,350.92,0,0
219,1,14.9709,0.6968,0.344,720,2012,0.335,100,0.46,6540,637.32,1,1
220,1,2.3527,0.7979,0.331,263,742,0.334,75,0.45,6567,240.05,0,0
221,1,3.2064,0.9293,0.280,605,1678,0.332,95,0.45,6628,539.81,0,0
222,1,-0.2535,1.0019,0.390,285,798,0.330,75,0.45,6657,265.11,0,0
223,1,0.5510,1.0569,0.310,569,1449,0.329,85,0.45,6714,508.52,0,0
224,1,2.4343,1.0713,0.337,386,1040,0.327,80,0.45,6753,346.37,0,0
225,1,1.9785,1.1195,0.280,386,995,0.325,80,0.44,6792,349.22,0,0
226,1,0.1978,1.2052,0.293,546,1493,0.324,90,0.44,6847,478.81,0,0
227,1,2.3167,1.2654,0.361,268,740,0.322,75,0.44,6874,252.61,0,0
228,1,-0.3692,1.2817,0.326,248,705,0.321,75,0.44,6899,225.80,0,0
229,1,-0.4516,1.2868,0.246,205,592,0.319,70,0.44,6920,188.81,0,0
230,1,-0.7842,1.2922,0.304,495,1418,0.317,95,0.43,6970,446.02,0,0
231,1,3.5136,1.4241,0.355,596,1650,0.316,95,0.43,7030,547.26,0,0
232,1,-2.0434,1.3869,0.245,385,1038,0.314,80,0.43,7069,353.34,0,0
233,1,3.6137,1.4560,0.364,526,1370,0.313,85,0.43,7122,474.97,0,0
234,1,-0.4695,1.4267,0.292,404,1060,0.311,80,0.43,7163,365.28,0,0
235,1,3.0218,1.4355,0.222,398,1071,0.309,80,0.43,7203,356.00,0,0
236,1,-1.5087,1.4097,0.282,520,1489,0.308,95,0.42,7255,459.36,0,0
237,1,-2.8507,1.3613,0.345,271,773,0.306,75,0.42,7283,243.77,0,0
238,1,-2.1468,1.3158,0.319,494,1287,0.305,85,0.42,7333,446.84,0,0
239,1,5.0672,1.3613,0.304,576,1612,0.303,95,0.42,7391,519.16,0,0
240,1,3.3866,1.4528,0.278,353,946,0.302,80,0.42,7427,332.87,0,0
241,1,21.2017,1.7950,0.286,817,2220,0.300,100,0.83,7509,741.19,1,1
242,1,-1.3611,1.7175,0.300,725,1949,0.299,95,0.83,7582,650.22,0,0
243,1,2.2230,1.6873,0.288,406,1077,0.297,80,0.82,7623,362.89,0,0
244,1,4.0961,1.8420,0.367,483,1278,0.296,85,0.82,7672,443.68,0,0
245,1,-0.4236,1.8569,0.312,284,730,0.294,70,0.82,7701,262.33,0,0
246,1,4.3650,1.9141,0.316,389,976,0.293,75,0.81,7740,378.42,0,0
247,1,18.0754,2.2719,0.320,716,2002,0.291,100,1.21,7812,648.28,1,1
248,1,17.6094,2.5868,0.330,769,2115,0.290,100,1.61,7889,694.16,2,1
249,2,1.2703,2.6019,0.322,306,802,0.288,55,1.61,7920,564.87,0,0
250,2,-1.5936,2.5364,0.347,622,1668,0.287,75,1.60,7983,1136.58,0,0
251,2,1.8484,2.4541,0.274,598,1605,0.286,75,1.59,8043,1054.80,0,0
252,2,4.7331,2.5980,0.317,425,1231,0.284,70,1.59,8086,748.70,0,0
253,2,1.1656,2.6860,0.331,544,1479,0.283,70,1.58,8141,991.30,0,0
254,2,1.7903,2.7192,0.239,379,972,0.281,60,1.57,8179,699.46,0,0
255,2,1.3821,2.7233,0.217,306,794,0.280,50,1.57,8210,567.42,0,0
256,2,-0.5950,2.6713,0.334,893,2600,0.279,90,1.56,8300,1577.52,0,0
257,2,2.4981,2.6948,0.321,605,1680,0.277,75,1.56,8361,1074.44,0,0
258,2,1.1079,2.7044,0.319,526,1606,0.276,80,1.55,8414,927.55,0,0
259,2,1.8899,2.7998,0.287,701,1855,0.274,75,1.54,8485,1278.80,0,0
260,2,-0.2849,2.8190,0.309,312,828,0.273,55,1.54,8517,584.77,0,0
261,2,5.8873,2.9094,0.258,526,1416,0.272,70,1.53,8570,954.24,0,0
262,2,2.5193,2.8418,0.344,390,1002,0.270,60,1.53,8609,728.31,0,0
263,2,-1.2853,2.7357,0.276,982,2744,0.269,90,1.52,8708,1745.18,0,0
264,2,-0.1506,2.7025,0.256,566,1571,0.268,75,1.52,8765,995.73,0,0
265,2,-0.7775,2.6239,0.298,482,1427,0.266,75,1.51,8814,855.16,0,0
266,2,4.0144,2.6807,0.324,396,1093,0.265,65,1.50,8854,708.82,0,0
267,2,2.2996,2.6001,0.257,540,1515,0.264,75,1.50,8908,955.94,0,0
268,2,-2.1971,2.5408,0.293,963,2753,0.262,90,1.49,9005,1682.37,0,0
269,2,2.5549,2.2925,0.339,552,1558,0.261,75,1.49,9061,966.80,0,0
270,2,2.0682,2.2868,0.322,342,865,0.260,55,1.48,9096,635.63,0,0
271,2,2.0121,2.2629,0.300,603,1664,0.258,75,1.48,9157,1027.22,0,0
272,2,2.4307,2.3166,0.313,537,1386,0.257,70,1.47,9211,964.02,0,0
273,2,2.9027,2.3637,0.281,343,925,0.256,60,1.47,9246,637.12,0,0
274,2,2.7469,2.3699,0.363,577,1639,0.255,75,1.46,9304,998.06,0,0
275,2,-1.0572,2.3092,0.239,475,1250,0.253,65,1.45,9352,844.71,0,0
276,2,-1.4969,2.2753,0.268,303,827,0.252,55,1.45,9383,551.19,0,0
277,2,3.7329,2.3036,0.219,411,1141,0.251,65,1.44,9425,730.31,0,0
278,2,2.9591,2.3702,0.230,326,844,0.249,55,1.44,9458,599.01,0,0
279,2,3.4324,2.4479,0.337,332,938,0.248,60,1.43,9492,607.46,0,0
280,2,3.1952,2.5275,0.233,475,1247,0.247,65,1.43,9540,848.50,0,0
281,2,1.1886,2.4810,0.304,650,1735,0.246,75,1.42,9605,1142.17,0,0
282,2,4.0615,2.6031,0.327,832,2258,0.245,85,1.42,9689,1465.88,0,0
283,2,-1.1641,2.5075,0.333,760,2109,0.243,85,1.41,9765,1302.16,0,0
284,2,3.4955,2.5868,0.346,455,1180,0.242,65,1.41,9811,822.08,0,0
285,2,2.1079,2.5685,0.290,592,1618,0.241,75,1.40,9871,1052.71,0,0
286,2,4.0427,2.6796,0.323,443,1193,0.240,65,1.40,9916,778.94,0,0
287,2,2.6294,2.7892,0.290,570,1538,0.238,70,1.39,9973,1028.87,0,0
288,2,0.7527,2.8471,0.287,505,1423,0.237,70,1.39,10024,892.41,0,0
289,2,5.5926,2.8577,0.370,446,1228,0.236,65,1.38,10069,853.08,0,0
290,2,0.0900,2.7917,0.288,328,890,0.235,55,1.38,10102,597.57,0,0
291,2,-0.1312,2.3651,0.266,731,1927,0.234,80,1.37,10176,1297.37,0,0
